## remap
Save File "N" | ww
Save And Close File "N" | qq

Navigate windows L "N" | <C-h>
Navigate windows R "N" | <C-l>

Move line or M lines D "V" | J
Move line or M lines T "V" | K

Append line under "N" | J

Move up half of the file "N" | <C-u>
Move down half of the file "N" | <C-d>

Move up to next search word "N" | N
Move down to next search word "N" | n

Paste without loosing current paste buffer "X" | <leader>p

Yank global word (with system clipboard) "N, V" | <leader>y
Yank global line (with system clipboard) "N, V" | <leader>Y

Delete without register "N, V" | <leader>d

Switch right tab "N" | <C-x>
Switch left tab "N" | <C-c>

Format file "N" | <leader-f>

Quick fix navigation next | <C-k>
Quick fix navigation prev | <C-j>
Quick fix navigation next 2 | <leader>k
Quick fix navigation prev 2 | <leader>j

Toggle NvimTree "N" | <C-i>

ToggleTerm "N, T" | <C-t>

Replace all for the pointed word "N" | <leader>s

Make executable the current file "N" | <leader>x
